25C-L8R0-RC-withoutH9,,
Time (min),Intensity (a.u.),
4.130541801,201.846405,
4.147208214,205.9704437,
4.163875103,211.2874756,
4.180541515,218.4278717,
4.197208405,219.6220551,
4.213875294,226.4831085,
4.230541706,232.2948151,
4.247208595,234.6571503,
4.263875008,235.1166534,
4.280541897,241.2945709,
4.297208786,242.8128357,
4.313875198,247.4994202,
4.330542088,248.2187805,
4.3472085,255.3928833,
4.363875389,256.6768494,
4.380541801,256.2249756,
4.397208691,259.1254883,
4.413875103,261.0493469,
4.430541992,265.4156799,
4.447208881,269.0087891,
4.463875294,268.4701233,
4.480542183,269.4983215,
4.497208595,271.1483459,
4.513875484,275.0920105,
4.530541897,275.1939392,
4.547208786,278.1781921,
4.563875198,272.8458252,
4.580542088,279.3952637,
4.5972085,282.1900024,
4.613875389,282.2326965,
4.630541801,285.1508179,
4.647208691,291.0665894,
4.663875103,285.0369568,
4.680541992,289.6424561,
4.697208881,287.9795532,
4.713875294,285.1572266,
4.730542183,289.9117126,
4.747208595,292.6622314,
4.763875484,291.7268982,
4.780541897,295.9280701,
4.797208786,295.4073181,
4.813875198,294.9585571,
4.830542088,293.6173401,
4.8472085,294.1642761,
4.863875389,297.2223206,
4.880541801,295.2254333,
4.897208691,297.6145325,
4.913875103,295.646759,
4.930541992,299.8061523,
4.947208881,296.5742188,
4.963875294,299.9294128,
4.980542183,302.2138062,
4.997208595,300.9223328,
5.013875484,302.4527283,
5.030541897,299.2901306,
5.047208786,302.8500061,
5.063875198,303.1557922,
5.080542088,304.4089661,
5.0972085,299.07724,
5.113875389,298.5862427,
5.130541801,303.2604065,
5.147208691,305.7939148,
5.163875103,304.7120361,
5.180541992,305.8807068,
5.197208881,304.2920227,
5.213875294,305.2619019,
5.230542183,304.6272888,
5.247208595,304.5962524,
5.263875484,306.1720581,
5.280541897,305.1983948,
5.297208786,303.8977356,
5.313875198,306.1493225,
5.330542088,307.2647095,
5.3472085,305.6735229,
5.363875389,307.0319214,
5.380541801,303.0280762,
5.397208691,308.7680664,
5.413875103,309.5058289,
5.430541992,312.7728882,
5.447208881,312.460022,
5.463875294,308.9518433,
5.480542183,304.2730408,
5.497208595,307.1470032,
5.513875484,308.4400024,
5.530541897,306.7245789,
5.547208786,308.8783569,
5.563875198,308.2832642,
5.580542088,308.2298584,
5.5972085,309.8483887,
5.613875389,307.2165833,
5.630541801,308.7998047,
5.647208691,309.5402222,
5.663875103,308.0224304,
5.680541992,307.6373901,
5.697208881,307.7374573,
5.713875294,310.7505188,
5.730542183,308.158905,
5.747208595,309.3807678,
5.763875484,305.9851379,
5.780541897,310.8869324,
5.797208786,310.8414307,
5.813875198,306.438446,
5.830542088,307.610199,
5.8472085,310.2250061,
5.863875389,307.0040283,
5.880541801,310.6648865,
5.897208691,310.5349426,
5.913875103,307.5729065,
5.930541992,308.8409119,
5.947208881,309.8359985,
5.963875294,309.9389343,
5.980542183,309.4700623,
5.997208595,312.3979187,
6.013875484,308.0609741,
6.030541897,308.5683594,
