25C-L7R0,,
Time (min),Intensity (a.u.),
0.008333333768,6.331115723,
0.02500000037,6.20551157,
0.04166666791,5.807919979,
0.05833333358,6.319544792,
0.07500000298,7.029968262,
0.09166666865,5.990800858,
0.1083333343,6.303573608,
0.125,6.022800922,
0.1416666657,6.480458736,
0.1583333313,6.264910698,
0.174999997,6.547421932,
0.5991458297,2.379401207,
0.6158124804,2.475447416,
0.6324791312,2.26171875,
0.6491458416,2.355550766,
0.6658124924,2.337251186,
0.6824791431,2.151325703,
0.6991458535,2.208919525,
0.7158125043,2.299287319,
0.7324791551,2.254987717,
0.7491458058,2.256501436,
0.7658125162,2.253416061,
0.782479167,2.13680315,
0.7991458178,2.336359501,
0.8158124685,2.295957565,
0.8324791789,2.071875095,
0.8491458297,2.238125086,
0.8658124804,1.771316886,
0.8824791312,2.02682209,
0.8991458416,2.715494394,
0.9158124924,1.938021898,
0.9324791431,2.26811862,
0.9491458535,2.457275867,
0.9658125043,2.251495361,
0.9824791551,1.876181602,
0.9991458058,2.265011072,
1.015812516,2.077664614,
1.032479167,2.282760382,
1.049145818,1.922753096,
1.065812469,2.302215338,
1.082479119,2.282684088,
1.679145813,8.382451057,
1.695812464,7.941281319,
1.712479115,8.045239449,
1.729145765,8.240948677,
1.745812535,8.228363037,
1.762479186,8.18264389,
1.779145837,8.21873951,
1.795812488,8.166187286,
1.812479138,8.549380302,
1.829145789,8.014507294,
1.84581244,8.242162704,
1.862479091,7.937076569,
1.879145861,8.380682945,
1.895812511,7.929877281,
1.912479162,7.928285599,
1.929145813,8.158210754,
1.945812464,7.269844532,
1.962479115,8.005377769,
1.979145765,8.363915443,
1.995812535,8.218708992,
2.012479067,8.142134666,
2.58983326,11.61939049,
2.60649991,10.21700954,
2.623166561,10.89120674,
2.639833212,10.54226112,
2.656500101,11.25008869,
2.673166752,10.93857288,
2.689833403,10.96770573,
2.706500053,10.36500168,
2.723166704,11.06780338,
2.739833355,10.8196249,
2.756500006,11.72079086,
2.773166656,11.03440475,
2.789833307,11.1079092,
2.806499958,11.56523514,
2.823166609,11.50284767,
2.83983326,10.95853806,
2.85649991,11.21622467,
2.873166561,11.62584877,
2.889833212,10.86402893,
2.906500101,12.26322079,
2.923166752,11.67032051,
2.939833403,11.89317131,
2.956500053,11.1374445,
2.973166704,10.72829533,
2.989833355,10.78972912,
3.006500006,10.78911686,
3.023166656,10.85282326,
3.039833307,11.07295418,
3.056499958,11.24024105,
3.073166609,11.23045731,
3.08983326,11.01782036,
3.10649991,11.0644846,
3.123166561,11.55130386,
3.139833212,10.46940708,
3.156500101,10.78869915,
3.173166752,10.73134232,
3.189833403,11.34015751,
3.206500053,10.7875948,
3.223166704,11.19351482,
3.239833355,10.31994152,
3.256500006,11.67416763,
3.273166656,11.24093914,
3.289833307,11.21298981,
3.306499958,10.8681221,
3.323166609,10.82521057,
3.33983326,11.13593102,
3.35649991,11.78311062,
3.373166561,11.11619854,
3.389833212,10.91937637,
3.406500101,11.00006676,
3.423166752,10.44998074,
3.439833403,11.87915134,
3.456500053,11.25634766,
3.473166704,10.61905003,
3.489833355,11.34516525,
3.506500006,10.85854816,
3.523166656,11.07818222,
3.539833307,11.7654314,
3.556499958,11.44839954,
3.573166609,10.6921196,
3.58983326,10.80585194,
3.60649991,11.26528358,
3.623166561,10.84223175,
3.639833212,11.05602074,
3.656500101,11.20440197,
3.673166752,10.49660587,
3.689833403,10.44509506,
3.706500053,11.73561668,
3.723166704,10.94177437,
3.739833355,10.53474522,
3.756500006,11.42124271,
3.773166656,11.29610348,
3.789833307,10.95132923,
3.806499958,11.12381363,
3.823166609,10.14634895,
3.83983326,11.55995274,
3.85649991,11.41666794,
3.873166561,11.10792637,
3.889833212,11.87901974,
3.906500101,11.23101997,
3.923166752,11.45517159,
3.939833403,10.53488827,
3.956500053,11.14531612,
3.973166704,11.09540653,
3.989833355,11.30710697,
4.006499767,11.00858212,
4.023166656,11.30215359,
4.039833546,11.41302872,
4.056499958,11.14261055,
4.073166847,11.40599251,
4.08983326,11.08481979,
4.106500149,11.88123512,
4.123166561,11.49425316,
4.13983345,11.73428059,
4.156499863,10.72567272,
4.173166752,11.38857365,
4.671103954,19.88227463,
4.687770367,19.91479111,
4.704437256,20.56845284,
4.721104145,20.35327911,
4.737770557,19.77628326,
4.754437447,21.28701591,
4.771103859,21.83481026,
4.787770748,22.042696,
4.80443716,22.02651405,
4.82110405,24.21279716,
4.837770462,23.60835266,
4.854437351,24.54055023,
4.871103764,24.44260406,
4.887770653,24.25144958,
4.904437065,25.07116127,
4.921103954,25.22241402,
4.937770367,26.32679749,
4.954437256,26.6316452,
4.971104145,26.30516243,
4.987770557,27.20293617,
5.004437447,27.9833374,
5.021103859,28.15997314,
5.037770748,28.51185226,
5.05443716,29.00613022,
5.07110405,31.35934448,
5.087770462,31.32474709,
5.104437351,31.88643265,
5.121103764,32.68897629,
5.137770653,32.5687294,
5.154437065,32.65646362,
5.171103954,33.48519516,
5.187770367,33.40638733,
5.204437256,35.55916977,
5.221104145,34.40014648,
5.237770557,34.67951584,
5.254437447,35.9548378,
5.271103859,35.12412262,
5.287770748,36.97877121,
5.30443716,36.32880783,
5.32110405,37.0492897,
5.337770462,36.96904755,
5.354437351,38.3233757,
5.371103764,38.61054993,
5.387770653,38.03813553,
5.404437065,39.27261734,
5.421103954,40.23407364,
5.437770367,40.41723633,
5.454437256,40.85241699,
5.471104145,41.46888733,
5.487770557,41.18732834,
5.504437447,43.58817291,
5.521103859,42.39681625,
5.537770748,42.12384796,
5.55443716,44.4481926,
5.57110405,43.53291702,
5.587770462,46.14909363,
5.604437351,44.88948441,
5.621103764,44.83055496,
5.637770653,46.8802681,
5.654437065,46.6676712,
5.671103954,46.59201813,
5.687770367,49.06837082,
5.704437256,48.57004929,
5.721104145,48.50220108,
5.737770557,49.02755356,
5.754437447,48.62611771,
5.771103859,49.17095184,
5.787770748,48.97914886,
5.80443716,51.47500992,
5.82110405,51.09604645,
5.837770462,50.8812561,
5.854437351,50.72200775,
5.871103764,51.5590744,
5.887770653,51.33271027,
5.904437065,52.94406509,
5.921103954,53.57817078,
5.937770367,53.5442276,
5.954437256,54.75179672,
5.971104145,51.88985062,
5.987770557,54.06509399,
6.004437447,54.57162094,
6.021103859,54.52380371,
6.037770748,55.83938599,
6.05443716,55.89443207,
6.07110405,56.67524338,
6.087770462,57.39093399,
6.104437351,56.17945862,
6.121103764,58.58360291,
6.137770653,58.38149643,
6.154437065,58.41927719,
6.171103954,59.58178711,
6.187770367,58.83480072,
6.204437256,59.1791954,
6.221104145,58.12564468,
6.237770557,60.0368576,
6.254437447,60.29829407,
6.271103859,61.34032059,
6.287770748,61.50392532,
6.30443716,61.99485016,
6.32110405,63.86832047,
6.337770462,62.88133621,
6.354437351,63.65599442,
6.371103764,62.29294205,
6.387770653,66.66603851,
6.404437065,64.18502045,
6.421103954,63.24690628,
6.437770367,64.25795746,
6.454437256,65.63633728,
6.471104145,64.13666534,
6.487770557,65.48723602,
6.504437447,65.4119339,
6.521103859,65.52935791,
6.537770748,66.68127441,
6.55443716,65.57907104,
6.57110405,67.61713409,
6.587770462,67.10320282,
6.604437351,67.90605927,
6.621103764,68.76529694,
6.637770653,68.69696045,
6.654437065,68.31474304,
6.671103954,69.30958557,
6.687770367,69.34185791,
6.704437256,69.55697632,
6.721104145,69.91849518,
6.737770557,70.7401123,
6.754437447,71.51831055,
6.771103859,71.45998383,
6.787770748,72.92590332,
6.80443716,71.31281281,
6.82110405,71.27832794,
6.837770462,74.05645752,
6.854437351,73.22187042,
6.871103764,74.67583466,
6.887770653,72.05250549,
6.904437065,73.70901489,
6.921103954,74.97988129,
6.937770367,74.92490387,
6.954437256,73.33231354,
6.971104145,73.07595825,
6.987770557,74.51333618,
7.004437447,74.28904724,
7.021103859,75.6060791,
7.037770748,75.31755829,
7.05443716,76.64185333,
7.07110405,77.59649658,
7.087770462,76.64014435,
7.104437351,77.56345367,
7.121103764,76.56200409,
7.137770653,77.49758911,
7.154437065,78.04620361,
7.171103954,77.6462326,
7.187770367,78.21742249,
7.204437256,76.99973297,
7.221104145,79.29652405,
7.237770557,76.65937042,
7.254437447,78.32701874,
7.271103859,79.45266724,
7.287770748,80.50917053,
7.30443716,79.98735809,
7.32110405,80.71395874,
7.337770462,81.72795868,
7.354437351,79.84603119,
7.371103764,80.71908569,
7.387770653,80.50321198,
7.404437065,80.97794342,
7.421103954,79.94641876,
7.437770367,82.36219788,
7.454437256,82.94122314,
7.471104145,82.27244568,
7.487770557,81.76463318,
7.504437447,82.20018768,
7.521103859,82.22344971,
7.537770748,82.49996948,
7.55443716,84.36000061,
7.57110405,85.16977692,
7.587770462,81.91873932,
