25C-L4R3,,
Current Method Changed: 10/12/2015 1:11:16 AM, Old:C:\Varian\Cary Eclipse WinFLR\DATA\Sudhanshu G\Memoids-8\TET-FQ-25C-200nM.FMKN, New:C:\Varian\Cary Eclipse WinFLR\DATA\Sudhanshu G\Memoids-8\M8-Set1-Apr18\TET-FQ-25C-200nM.FMKN
Cell1 Changed: 10/12/2015 1:12:45 AM, Old:ON, New:OFF
Cell2 Changed: 10/12/2015 1:12:45 AM, Old:ON, New:OFF
Ex. Slit Width (nm): Changed: 10/12/2015 1:13:05 AM, Old:5, New:10
Em. Slit Width (nm): Changed: 10/12/2015 1:13:05 AM, Old:2.5, New:5
Sample3 Changed: 10/13/2015 12:32:51 PM, Old:Sample3, New:RC-B2-B2a-30nM
Sample3 Changed: 10/13/2015 1:11:18 PM, Old:RC-B2-B2a-30nM, New:RC-B2below-30nM
Sample3 Changed: 10/13/2015 1:52:21 PM, Old:RC-B2below-30nM, New:RC4-Anneal-Checks
Sample3 Changed: 10/14/2015 12:22:37 AM, Old:RC4-Anneal-Checks, New:RC4-Find-Culprit
Cell1 Changed: 10/14/2015 12:36:07 AM, Old:OFF, New:ON
Sample1 Changed: 10/14/2015 12:36:38 AM, Old:100nM TET-FQ; Slit:5-5; Voltage: 800V, New:Find-The-Culprit
Sample3 Changed: 10/14/2015 12:36:38 AM, Old:RC4-Find-Culprit, New:RC4-Increasing
Cell3 Changed: 10/14/2015 12:57:28 AM, Old:ON, New:OFF
Cell1 Changed: 10/14/2015 1:02:19 AM, Old:ON, New:OFF
Cell3 Changed: 10/14/2015 1:02:19 AM, Old:OFF, New:ON
Sample3 Changed: 10/14/2015 1:02:46 AM, Old:RC4-Increasing, New:RC5-A1-For-B1
Cell1 Changed: 10/14/2015 1:21:09 AM, Old:OFF, New:ON
Cell3 Changed: 10/14/2015 1:21:09 AM, Old:ON, New:OFF
Sample1 Changed: 10/14/2015 1:21:34 AM, Old:Find-The-Culprit, New:B3-And-A1
Cell3 Changed: 10/14/2015 1:31:02 AM, Old:OFF, New:ON
Cell1 Changed: 10/14/2015 7:19:23 PM, Old:ON, New:OFF
Sample3 Changed: 10/14/2015 7:19:47 PM, Old:RC5-A1-For-B1, New:RC-a-2100pmol-T1
Sample3 Changed: 10/14/2015 7:52:14 PM, Old:RC-a-2100pmol-T1, New:RC-a-2100pmol-pt3x-init-T2
Sample3 Changed: 10/14/2015 8:24:13 PM, Old:RC-a-2100pmol-pt3x-init-T2, New:RC-a-2100pmol-pt3x-init-T2-37C
Block Temp Changed: 10/14/2015 8:24:23 PM, Old:  25.00, New:  37.00
Sample3 Changed: 10/15/2015 12:14:00 PM, Old:RC-a-2100pmol-pt3x-init-T2-37C, New:37C-RCa-30nM
Sample3 Changed: 10/16/2015 5:31:36 PM, Old:37C-RCa-30nM, New:37C-RCa-30nM-TA_F2
Sample3 Changed: 10/19/2015 4:13:28 PM, Old:37C-RCa-30nM-TA_F2, New:37C-RCa-30nM-TA_F1_F2
Sample3 Changed: 10/19/2015 7:16:44 PM, Old:37C-RCa-30nM-TA_F1_F2, New:37C-RCa-30nM-TA_F1_F2-SysA
Sample3 Changed: 10/20/2015 10:05:35 AM, Old:37C-RCa-30nM-TA_F1_F2-SysA, New:37C-RCa-30nM-SysA-TA_F1-1isto2
Sample3 Changed: 10/21/2015 11:25:10 AM, Old:37C-RCa-30nM-SysA-TA_F1-1isto2, New:37C-RC-b-Reason-For-SysA-Leak
Sample3 Changed: 10/21/2015 10:07:21 PM, Old:37C-RC-b-Reason-For-SysA-Leak, New:37C-TA-SysB-Leak-Check
Sample3 Changed: 10/22/2015 9:31:10 PM, Old:37C-TA-SysB-Leak-Check, New:37C-SysB-Leak
Block Temp Changed: 8/8/2016 12:47:19 PM, Old:  37.00, New:  25.00
Sample3 Changed: 8/8/2016 12:56:25 PM, Old:37C-SysB-Leak, New:25C-RC-Test-10nM
Sample3 Changed: 8/8/2016 1:13:42 PM, Old:25C-RC-Test-10nM, New:25C-L8R0
Sample3 Changed: 8/8/2016 2:55:10 PM, Old:25C-L8R0, New:25C-L8R0-RC-withoutH9
Sample3 Changed: 8/8/2016 3:55:10 PM, Old:25C-L8R0-RC-withoutH9, New:25C-L8R0
Sample3 Changed: 8/8/2016 4:23:29 PM, Old:25C-L8R0, New:25C-L7R1
Sample3 Changed: 8/9/2016 1:41:10 PM, Old:25C-L7R1, New:25C-L6R2
Sample3 Changed: 8/9/2016 2:32:15 PM, Old:25C-L6R2, New:25C-L5R3
Sample3 Changed: 8/9/2016 4:03:37 PM, Old:25C-L5R3, New:25C-L7R0
Sample3 Changed: 8/9/2016 4:46:21 PM, Old:25C-L7R0, New:25C-L6R1
Sample3 Changed: 8/9/2016 5:15:44 PM, Old:25C-L6R1, New:25C-L5R2
Sample3 Changed: 8/9/2016 6:08:12 PM, Old:25C-L5R2, New:25C-L4R3
End Method Modifications

