25C-L6R1,,
Time (min),Intensity (a.u.),
6.860541821,65.2541275,
6.877208233,65.86341095,
6.893875122,64.84552765,
6.910542011,64.59088135,
6.927208424,66.19126892,
6.943875313,65.88273621,
6.960541725,64.1075592,
6.977208614,65.73226929,
6.993875027,65.74184418,
7.010541916,66.22338104,
7.027208328,67.78833008,
7.043875217,68.75053406,
7.06054163,66.0719223,
7.077208519,68.42945099,
7.093874931,69.17549896,
7.110541821,67.50397491,
7.127208233,70.0318222,
7.143875122,68.53355408,
7.160542011,71.08804321,
7.177208424,68.35819244,
7.193875313,70.99055481,
7.210541725,70.75305176,
7.227208614,72.45899963,
7.243875027,72.79064178,
7.260541916,71.14723206,
7.277208328,71.86476135,
7.293875217,73.83185577,
7.31054163,71.13114166,
7.327208519,72.54124451,
7.343874931,71.95072174,
7.360541821,72.30925751,
7.377208233,73.51855469,
7.393875122,72.83999634,
7.410542011,73.75050354,
7.427208424,73.70618439,
7.443875313,74.8735199,
7.460541725,74.73304749,
7.477208614,76.25882721,
7.493875027,76.317276,
7.510541916,76.5376358,
7.527208328,75.78527832,
7.543875217,76.95236206,
7.56054163,75.74753571,
7.577208519,76.49344635,
7.593874931,75.36816406,
7.610541821,76.83588409,
7.627208233,78.50814056,
7.643875122,79.29868317,
7.660542011,78.61217499,
7.677208424,77.77215576,
7.693875313,78.33346558,
7.710541725,77.11607361,
7.727208614,80.04567719,
7.743875027,79.53842926,
7.760541916,80.09558868,
7.777208328,78.92428589,
7.793875217,81.15847778,
7.81054163,80.31209564,
7.827208519,80.93959045,
7.843874931,81.02820587,
7.860541821,81.9759903,
7.877208233,81.8159256,
7.893875122,82.39555359,
7.910542011,82.22874451,
7.927208424,84.37213135,
7.943875313,82.65755463,
7.960541725,81.97249603,
7.977208614,84.07240295,
7.993875027,83.50304413,
8.010541916,83.78831482,
8.027208328,83.94259644,
8.043874741,83.6457901,
8.060542107,83.84609222,
8.077208519,83.9659729,
8.093874931,84.66072083,
8.110541344,82.98631287,
8.12720871,83.83515167,
8.143875122,86.451828,
8.160541534,86.34645081,
8.1772089,86.83827209,
8.193875313,87.64110565,
8.210541725,87.99768829,
8.227208138,86.8633194,
8.243875504,85.83664703,
8.260541916,87.36445618,
8.277208328,87.4957428,
8.293874741,89.33441162,
8.310542107,87.54399109,
8.327208519,88.15386963,
8.343874931,87.88995361,
8.360541344,90.44506073,
8.37720871,88.80997467,
8.393875122,88.33974457,
8.410541534,88.05981445,
8.4272089,89.32382965,
8.443875313,89.323349,
8.460541725,90.28520203,
8.477208138,88.29714203,
8.493875504,90.98600006,
8.510541916,90.59234619,
8.527208328,89.83368683,
8.543874741,90.34506989,
8.560542107,89.62625885,
8.577208519,90.549263,
8.593874931,91.41036224,
8.610541344,92.96271515,
8.62720871,91.24581909,
8.643875122,91.48213196,
8.660541534,91.48575592,
8.6772089,91.35515594,
8.693875313,95.29196167,
8.710541725,93.84805298,
8.727208138,94.42466736,
8.743875504,92.32871246,
8.760541916,92.96417999,
8.777208328,91.7922821,
8.793874741,92.5604248,
8.810542107,93.73253632,
8.827208519,95.87297058,
8.843874931,95.07201385,
8.860541344,95.15368652,
8.87720871,96.78833771,
8.893875122,96.41370392,
8.910541534,96.3360672,
8.9272089,95.04737854,
8.943875313,94.24819183,
8.960541725,95.30512238,
8.977208138,95.65975952,
8.993875504,95.41239166,
9.010541916,98.79898834,
9.027208328,94.36283875,
9.043874741,96.81562042,
9.060542107,93.36869812,
9.077208519,94.97579193,
9.093874931,96.67424011,
9.110541344,96.20641327,
9.12720871,97.48454285,
9.143875122,97.4802475,
9.160541534,95.9256897,
9.1772089,96.28753662,
9.193875313,96.66519928,
9.210541725,96.91716766,
9.227208138,99.68652344,
9.243875504,97.5449295,
9.260541916,97.92397308,
9.277208328,99.07342529,
9.293874741,97.98767853,
9.310542107,96.63047028,
9.327208519,98.43006897,
9.343874931,98.44126892,
9.360541344,98.83320618,
9.37720871,100.0018616,
