25C-L6R2,,
Time (min),Intensity (a.u.),
0.008333333768,6.938704014,
0.02500000037,7.195010662,
0.04166666791,7.873301506,
0.05833333358,7.249280453,
0.07500000298,7.399019241,
0.09166666865,6.564361095,
0.1083333343,7.371029854,
0.125,6.646774292,
0.1416666657,7.082295418,
0.1583333313,7.021291256,
0.174999997,6.736461163,
0.1916666627,6.978380203,
0.2083333284,6.738786697,
0.224999994,7.299603939,
0.2416666597,7.656722546,
0.2583333254,7.621508121,
0.275000006,6.625431538,
0.2916666567,7.174537182,
0.3083333373,6.929920197,
0.3249999881,7.194781303,
0.3416666687,6.36750555,
0.3583333194,6.750451565,
0.375,6.292586803,
0.3916666806,6.544593334,
0.4083333313,6.495466709,
0.4250000119,6.469664097,
0.4416666627,6.836562157,
0.4583333433,7.683742046,
0.474999994,6.888249397,
0.4916666746,6.996674061,
0.5083333254,7.502852917,
0.9427708387,1.96398747,
0.9594374895,1.907425642,
0.9761041403,2.011625767,
0.9927708507,2.076593876,
1.009437442,1.851894021,
1.026104212,1.846580267,
1.042770863,1.984519839,
1.059437513,1.790241838,
1.076104283,1.74551928,
1.092770934,1.971300483,
1.109437585,2.198335648,
1.126104236,1.749952316,
1.142770886,1.848488808,
1.159437537,2.035574198,
1.176104188,1.518749595,
1.192770839,1.99537766,
1.711333394,9.59668541,
1.728000045,9.742061615,
1.744666696,10.09019279,
1.761333346,9.088703156,
1.777999997,8.67834568,
1.794666648,8.710968971,
1.811333299,8.920913696,
1.827999949,9.364780426,
1.844666719,9.768642426,
1.86133337,9.839665413,
1.878000021,11.1733675,
1.894666672,10.21929359,
1.911333323,9.728435516,
1.927999973,9.047722816,
1.944666624,9.077374458,
1.961333394,8.597119331,
1.978000045,8.434432983,
1.994666696,8.467970848,
2.011333227,8.313964844,
2.028000116,8.153831482,
2.044666767,8.595424652,
2.061333418,8.548410416,
2.078000069,8.968176842,
2.094666719,8.788685799,
2.11133337,8.831695557,
2.128000021,8.646951675,
2.144666433,8.497883797,
2.161333323,8.777246475,
2.177999973,8.639209747,
2.194666624,8.143344879,
2.211333275,8.097406387,
