25C-L5R3,,
Time (min),Intensity (a.u.),
0.008333333768,7.344026089,
0.02500000037,7.07682991,
0.04166666791,6.94208765,
0.05833333358,6.863526821,
0.07500000298,6.712798595,
0.09166666865,6.519909859,
0.1083333343,6.687091827,
0.125,7.607021809,
0.1416666657,6.553899288,
0.1583333313,7.158212662,
0.174999997,7.213401318,
0.1916666627,6.830979347,
0.2083333284,7.076162815,
0.224999994,6.579835892,
0.2416666597,7.343792915,
0.2583333254,6.886828899,
0.275000006,6.671822548,
0.2916666567,7.43120718,
0.3083333373,7.442997932,
0.3249999881,6.769449711,
0.3416666687,6.939358234,
0.3583333194,7.17246294,
0.375,7.163350582,
0.3916666806,6.733626842,
0.4083333313,7.553466797,
0.4250000119,6.910820961,
0.4416666627,6.544478416,
0.4583333433,7.003592014,
0.7853333354,2.309682608,
0.8019999862,2.076649904,
0.8186666369,2.514832973,
0.8353332877,1.983134031,
0.8519999981,2.098582268,
0.8686666489,2.064564466,
0.8853332996,1.775889277,
0.90200001,2.101118565,
0.9186666608,2.160470963,
0.9353333116,2.217751503,
0.9519999623,2.221589327,
0.9686666727,2.241009235,
0.9853333235,2.310501575,
1.001999974,2.480064392,
1.018666625,2.793257236,
1.035333276,2.502628088,
1.051999927,2.126052618,
1.068666577,2.4400599,
1.085333228,2.442885876,
1.101999879,2.409672499,
1.11866653,2.52197957,
1.1353333,2.766155005,
1.15199995,2.364519119,
1.168666601,2.116961002,
1.185333252,2.184783459,
1.201999903,2.237063885,
1.218666553,2.265703678,
1.717208385,9.170404434,
1.733875036,9.069325447,
1.750541687,8.59112072,
1.767208338,9.613556862,
1.783874989,8.176427841,
1.800541639,8.756790161,
1.817208409,9.079780579,
1.83387506,8.223187447,
1.850541711,8.184010506,
1.867208362,8.316008568,
1.883875012,8.79406929,
1.900541663,8.677347183,
1.917208314,8.995802879,
1.933874965,9.080103874,
1.950541735,8.131523132,
1.967208385,8.445820808,
1.983875036,8.415342331,
2.000541687,8.41943264,
2.017208338,8.856150627,
2.033874989,8.054367065,
2.050541639,7.842645168,
2.06720829,8.714596748,
2.083874941,8.110296249,
2.100541592,8.248654366,
2.117208242,8.218274117,
2.133875132,8.865947723,
2.150541782,7.433821201,
2.167208433,7.803888798,
2.183875084,8.200993538,
2.200541735,7.919006824,
2.217208385,7.530665874,
2.726145983,13.87094975,
2.742812634,13.14664364,
2.759479284,12.45362759,
2.776145935,12.59529972,
2.792812586,12.12802887,
2.809479237,12.65371132,
2.826145887,12.64541531,
2.842812538,12.63560772,
2.859479189,12.36413002,
2.87614584,11.66672039,
2.89281249,11.93643856,
2.90947938,12.55924797,
2.92614603,12.77056694,
2.942812681,12.51315975,
2.959479332,11.55405521,
2.976145983,12.50167465,
2.992812634,12.05694294,
3.009479284,12.31819916,
3.026145935,11.94180012,
3.042812586,12.40153122,
3.059479237,11.68776417,
3.076145887,11.9312706,
3.092812538,12.12546539,
3.109479189,12.11776161,
3.12614584,12.57358456,
3.14281249,11.83753204,
3.15947938,12.81771755,
3.17614603,11.70596409,
3.192812681,11.57450104,
3.209479332,11.91807938,
3.226145983,12.11143875,
3.242812634,12.04236698,
3.259479284,11.95563412,
3.276145935,12.36996841,
3.292812586,12.3252182,
3.309479237,12.11454678,
3.326145887,12.6515131,
3.342812538,12.57696152,
3.867041826,18.96285629,
3.883708477,18.61727905,
3.900375128,18.97371101,
3.917041779,18.51011086,
3.933708429,19.48121834,
3.95037508,19.05176353,
3.967041731,20.02998352,
3.983708382,19.98632813,
4.000375271,19.12069702,
4.017041683,20.29355431,
4.033708572,19.40533066,
4.050374985,19.90134239,
4.067041874,20.29994583,
4.083708286,20.63957024,
4.100375175,20.9950161,
4.117041588,20.62208939,
4.133708477,20.79074287,
4.150374889,21.16999054,
4.167041779,21.41163635,
4.183708668,21.59003448,
4.20037508,21.29127693,
4.217041969,20.94098091,
4.233708382,20.8132534,
