25C-L5R2,,
Time (min),Intensity (a.u.),
0.008333333768,6.622117996,
0.02500000037,6.697354794,
0.04166666791,7.020971775,
0.05833333358,6.82498455,
0.07500000298,6.901477814,
0.09166666865,6.551291466,
0.1083333343,6.79239893,
0.125,6.747906685,
0.1416666657,5.994502068,
0.4950000048,3.091847897,
0.5116666555,2.618085146,
0.5283333659,2.586064339,
0.5450000167,2.869493961,
0.5616666675,2.552438021,
0.5783333182,2.486409903,
0.5950000286,1.997097611,
0.6116666794,2.245611906,
0.6283333302,2.00170207,
0.6450000405,2.018000841,
0.6616666913,1.9875741,
0.6783333421,2.309075356,
0.6949999928,1.904022217,
0.7116667032,1.590862513,
0.728333354,2.11829114,
0.7450000048,2.537961721,
0.7616666555,2.026659489,
1.883062482,12.56985855,
1.899729133,12.62332535,
1.916395783,12.30358315,
1.933062434,12.12112522,
1.949729204,12.13246346,
1.966395855,11.69150257,
1.983062506,11.80128384,
1.999729156,11.36445618,
2.016395807,12.36844254,
2.033062458,11.79518414,
2.049729109,11.59565735,
2.06639576,11.11027241,
2.08306241,11.24407005,
2.099729061,11.7443018,
2.116395712,10.53680992,
2.133062601,10.89805412,
2.149729252,11.69097805,
2.166395903,11.22219944,
2.183062553,11.00445557,
2.199729204,10.65356636,
2.216395855,10.59708977,
2.233062506,10.87919712,
2.249729156,10.74956512,
2.266395807,12.12186432,
2.283062458,11.02132797,
2.299729109,11.26279449,
2.31639576,11.4978447,
2.33306241,10.74099064,
2.349729061,11.05517197,
2.366395712,10.56017303,
2.383062601,10.70468998,
2.399729252,10.96157265,
2.416395903,10.30008984,
2.433062553,10.68481255,
2.449729204,10.71306133,
2.466395855,11.08039856,
2.483062506,10.25147724,
2.499729156,10.62097263,
2.516395807,11.37299061,
2.533062458,10.46910381,
2.549729109,11.03727913,
2.56639576,11.37402725,
2.58306241,10.92337227,
2.599729061,10.75974274,
2.616395712,11.63539028,
2.633062601,11.07249165,
2.649729252,10.74854565,
2.666395903,11.26994896,
2.683062553,10.60700035,
2.699729204,10.04476833,
2.716395855,11.0776329,
2.733062506,10.11598969,
2.749729156,9.657968521,
2.766395807,10.45138264,
2.783062458,9.741176605,
2.799729109,10.01040459,
2.81639576,9.815805435,
2.83306241,9.303157806,
2.849729061,9.493552208,
2.866395712,9.83361721,
2.883062601,9.156879425,
2.899729252,9.634537697,
2.916395903,9.469732285,
2.933062553,10.10144043,
2.949729204,9.244389534,
2.966395855,9.601125717,
2.983062506,10.18618584,
2.999729156,9.188311577,
3.016395807,9.882588387,
3.033062458,9.490838051,
3.049729109,9.401612282,
3.06639576,8.988858223,
3.08306241,9.2745924,
3.099729061,9.096767426,
3.116395712,9.588281631,
3.133062601,9.477239609,
3.149729252,9.04295826,
3.166395903,9.027132034,
3.183062553,8.978331566,
3.199729204,9.803285599,
3.216395855,9.517684937,
3.233062506,9.241740227,
3.249729156,8.661409378,
3.266395807,9.026528358,
3.283062458,9.565773964,
3.299729109,9.805588722,
3.31639576,8.494029999,
3.33306241,8.521434784,
3.349729061,9.29556942,
3.366395712,8.792946815,
3.383062601,9.05967617,
3.399729252,8.904304504,
3.416395903,9.006011963,
3.433062553,9.479970932,
3.449729204,8.910560608,
3.466395855,8.592642784,
3.483062506,8.865614891,
3.499729156,8.325503349,
4.030333519,9.531991005,
4.046999931,10.24363422,
4.063666821,11.0262661,
4.080333233,10.07839298,
4.097000122,10.10077381,
4.113667011,10.8278532,
4.130333424,10.23439407,
4.147000313,11.04990673,
